1032 EAST 93 STREET,11236,2
1588 PRESIDENT STREET,11213,4
1276 EAST 52 STREET,11234,1
293 IRVING AVENUE,11237,2
3820 AVENUE L,11210,4
2027 MERMAID AVENUE,11224,3
866 MC DONALD AVENUE,11218,3
1327 46 STREET,11219,14
204 SCHENCK AVENUE,11207,9
76 BAY 31 STREET,11214,1
588 EAST NEW YORK AVENUE,11225,20
1030 CARROLL STREET,11225,41
2333 EAST 2 STREET,11223,2
1522 EASTERN PARKWAY EXTENSION,11233,3
802 KINGS HIGHWAY,11223,73
10410 AVENUE K,11236,2
96 RALPH AVENUE,11221,1
159 SOUTH 8 STREET,11211,2
372 WALLABOUT STREET,11206,68
106 CLARKSON AVENUE,11226,27
176 ROCKAWAY AVENUE,11233,2
2675 EAST 7 STREET,11235,3
404 2 STREET,11215,3
350 ROEBLING STREET,11211,8
2902 BEVERLY ROAD,11226,1
849A GREENE AVENUE,11221,2
223 MADISON STREET,11216,1
2916 BRIGHTON 8 STREET,11235,8
121 COLUMBIA STREET,11231,6
9 ARGYLE ROAD,11218,5
92 BERRY STREET,11249,1
304 BOND STREET,11231,2
545 SNEDIKER AVENUE,11207,7
4120 10 AVENUE,11219,12
29 BREVOORT PLACE,11216,1
1248 PACIFIC STREET,N/A,2
480 EAST 21 STREET,11226,38
159 EAST 59 STREET,11203,1
189 DUMONT AVENUE,11212,7
404 TOMPKINS AVENUE,11216,35
557 MORGAN AVENUE,11222,1
10221 AVENUE J,11236,1
1488 BUSHWICK AVENUE,11207,24
2665 HOMECREST AVENUE,11235,51
1325 PACIFIC STREET,11216,1
538 CRESCENT STREET,11208,30
5610 4 AVENUE,11220,3
1569 BROADWAY,11207,1
53 PATCHEN AVENUE,11221,2
2237 81 STREET,11214,4
316 47 STREET,11220,1
3202 NOSTRAND AVENUE,11229,6
210 PUTNAM AVENUE,11216,17
319 WINTHROP STREET,11225,1
1488 STERLING PLACE,11213,26
1566 EASTERN PARKWAY EXTENSION,11233,10
655 MAC DONOUGH STREET,11233,9
106 HICKS STREET,11201,1
576 EASTERN PARKWAY,11225,91
244 MALCOLM X BOULEVARD,11233,1
32 CLARKSON AVENUE,N/A,5
49 TAPSCOTT STREET,11212,2
214 ROCKAWAY PARKWAY,N/A,1
122 HOYT STREET,N/A,1
1151 DEAN STREET,N/A,2
201 HANCOCK STREET,11216,8
564 EAST 2 STREET,11218,2
243 STOCKHOLM STREET,11237,1
90 STARR STREET,11237,6
1169 FLATBUSH AVENUE,11226,5
1085 FULTON STREET,11238,1
107 BAY 25 STREET,11214,2
1074 EAST 84 STREET,11236,1
489 EASTERN PARKWAY,11216,18
355 SOUTH    3 STREET,11211,2
107 MILLER AVENUE,11207,1
252 EAST   45 STREET,11203,2
415 MARION STREET,11233,2
682 HART STREET,11221,11
1198 HALSEY STREET,11207,28
176 ALBANY AVENUE,N/A,2
109 EAST   95 STREET,11212,1
1176 PRESIDENT STREET,11225,3
956 HEMLOCK STREET,11208,2
542 BEVERLY ROAD,11218,1
2264 PACIFIC STREET,11233,1
970 BERGEN STREET,11216,2
1097 EAST 53 STREET,11234,1
1487 ST JOHNS PLACE,11213,4
567 GATES AVENUE,11221,1
175 MONTAUK AVENUE,11208,2
8514 AVENUE J,11236,1
615 EAST 81 STREET,11236,1
6001 AVENUE U,11234,1
766 MILLER AVENUE,11207,4
236 EAST 95 STREET,11212,2
735 WASHINGTON AVENUE,11238,1
171 VERNON AVENUE,11206,6
599 FRANKLIN AVENUE,11238,6
338 TOMPKINS AVENUE,11216,2
101 MALCOLM X BOULEVARD,11221,1
1150 OCEAN AVENUE,N/A,1
207 AINSLIE STREET,11211,1
950 DUMONT AVENUE,11207,3
673 UNION STREET,11215,5
429 IRVING AVENUE,11237,2
756 SCHENCK AVENUE,11207,1
264 EAST 23 STREET,11226,3
299 PUTNAM AVENUE,11216,5
386 NEPTUNE AVENUE,11235,1
3023 WEST 23 STREET,11224,2
12155 FLATLANDS AVENUE,11207,3
1078 BEDFORD AVENUE,11216,2
1292 STERLING PLACE,N/A,1
24 AVENUE T,11223,2
2031 UNION STREET,11212,3
170 PARKSIDE AVENUE,11226,2
351 54 STREET,11220,3
880 BROADWAY,11206,1
9046 FARRAGUT ROAD,11236,1
1216 CATON AVENUE,11218,2
69 STOCKHOLM STREET,11221,10
724 CHAUNCEY STREET,11207,5
160 BRADFORD STREET,11207,3
1814 WEST 8 STREET,11223,1
1470 STERLING PLACE,11213,32
446 56 STREET,11220,1
